AttackerArmies,DefenderArmies,Captured,AttackerLosses,DefenderLosses
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,1,0,1
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,0,1,0
2,1,0,1,0
2,1,1,0,1
2,1,1,0,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,1,0,2
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,1,0,2
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,0,1,1
2,2,0,1,1
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,1,0,2
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,1
2,2,0,1,0
2,2,0,1,0
2,2,1,0,2
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,2,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,1,0,3
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,2
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,2
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,2
2,3,0,1,2
2,3,0,1,0
2,3,0,1,0
2,3,0,1,2
2,3,0,1,0
2,3,0,1,0
2,3,1,0,3
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,2
2,3,0,1,1
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,0
2,3,0,1,1
2,3,0,1,0
2,3,0,1,1
